"SMILES", "Ki"
"CC[C@@H](CO)NC(=O)[C@H]1CN(C)[C@@H]2Cc3cn(C)c4cccc(C2=C1)c34",
"C[C@H](Cc1ccccc1)NC[C@H](O)c1cc(O)cc(O)c1","2951.21"
"CC(C)(C)NC[C@H](O)c1ccc(O)c(CO)c1","4677.0"
"COc1ccc(C[C@H](C)NC[C@@H](O)c2cc(O)cc(O)c2)cc1","15848.93"
"CCc1nc(co1)-c1ccc(OCCNC[C@H](O)c2cccnc2)cc1","37.0"
"CC(C)c1nc(co1)-c1ccc(OCCNC[C@H](O)c2cccnc2)cc1","49.0"
"CC(COc1ccc2OCC(=O)Nc2c1)NCC(O)COc1cccc2[nH]ccc12","1.585"
"CCOC(=O)N1CCN(CCn2c(=O)[nH]c3c4ccccc4[nH]c3c2=O)CC1",
"Nc1ccc(Cc2ccc(N)cc2)cc1",
"CC(C)c1ccccc1OCC(O)CN1CCC(CN2C(=O)c3cccc4cccc(C2=O)c34)CC1","230.0"
"CCc1nc(cs1)-c1ccc(OCCNC[C@H](O)c2cccnc2)cc1",
"NC(=N)NC(=O)Cc1c(Cl)cccc1Cl",
"COc1ccc(cc1)C(=O)C1CCN(CC(O)COc2cccc3[nH]c4ccccc4c23)CC1","0.2"
"NC[C@H](O)c1ccc(O)c(O)c1F","5446000.0"
"CCC1(C)CC(=O)NC1=O",
"C[C@@H](Cc1ccc(O)cc1)NC[C@@H](O)c1cc(O)cc(O)c1","3372.87"
"O[C@@H](CNCCOc1ccc(cc1)-c1cscn1)c1cccnc1","10.0"
"N[C@@H](Cc1ccc(O)c(O)c1)C(O)=O",
"CC[C@H]([C@H]1CC[C@H](C)[C@@H](O1)[C@@H](C)[C@H](O)[C@H](C)C(=O)[C@H](CC)[C@H]1O[C@@]2(O[C@@]3(CC[C@](C)(O3)[C@H]3CC[C@](O)(CC)[C@H](C)O3)[C@H](O)C=C2)[C@H](C)C[C@@H]1C)C(O)=O",
"O[C@@H](CNCCOc1ccc(cc1)-c1cocn1)c1cccnc1","10.0"
"O[C@@H](CNCCOc1ccc(cc1)-c1csc(n1)C(F)(F)F)c1cccnc1",
"CC1(C)[C@H](CC[C@@]2(C)[C@H]1CC[C@]1(C)[C@@H]2C(=O)C=C2[C@@H]3C[C@](C)(CC[C@]3(C)CC[C@@]12C)C(O)=O)O[C@H]1O[C@@H]([C@@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@@H]([C@@H](O)[C@H](O)[C@H]1O)C(O)=O)C(O)=O",
"CN(N=O)C(=O)N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O",
"COc1ccc(OCC(O)CNC2CCN(CC2)c2ncnc3scc(-c4ccccc4)c23)cc1","700.0"
"CCc1c2Cn3c(cc4c(COC(=O)[C@]4(O)CC)c3=O)-c2nc2ccc(OC(=O)N3CCC(CC3)N3CCCCC3)cc12",
"CCCCOc1ccc(C[C@@H](C)NC[C@H](O)c2cc(Br)no2)cc1","15.5"
"COc1ccc(cc1OC)[C@H](CCc1ccccc1)NC[C@H](O)Cc1ccc(O)c(NS(C)(=O)=O)c1","390.0"
