KEYS,5ht1a,5ht7,beta2,d2,h1,SMARTS
KLEK_1582,0,0,0,0,0,[!#1]c1[cH][cH][cH][cH]c1c2nc3[cH][cH][cH][cH]c3s2
KLEK_1583,35,26,2,82,6,[!#1]c1[cH][cH][cH][cH]c1Cl
KLEK_1584,16,23,1,50,10,[!#1]c1[cH][cH][cH][cH]c1F
KLEK_1585,3,3,0,4,0,[!#1]c1[cH][cH][cH][cH]c1I
KLEK_1586,0,0,0,0,0,[!#1]c1[cH][cH][cH][cH]c1N2C(=O)[CH]=[CH]C2=O
KLEK_1587,0,0,0,0,0,[!#1]c1[cH][cH][cH][cH]c1N2C(=O)[CH]3[CH]([CH]([CH]=[CH][CH]3c4[cH][cH][cH][cH][cH]4)c5[cH][cH][cH][cH][cH]5)C2=O
KLEK_1588,140,116,13,435,14,[!#1]c1[cH][cH][cH][cH]c1O[CH3]
KLEK_1589,53,41,0,272,25,[!#1]c1[cH][cH][cH][cH]n1
KLEK_1590,0,0,0,2,0,[!#1]c1[cH][cH][cH][nH]1
KLEK_1591,224,183,39,633,41,[!#1]c1[cH][cH][cH]c([!#1])[cH]1
KLEK_1592,465,248,43,1111,107,[!#1]c1[cH][cH][cH]c([!#1])c1[!#1]
KLEK_1593,0,0,0,0,0,[!#1]c1[cH][cH][cH]c([!#1])c1n2nnnc2C3([!#1])[CH2][CH2][CH2][CH2][CH2]3
KLEK_1594,11,9,2,65,2,[!#1]c1[cH][cH][cH]c([!#1])n1
KLEK_1595,0,0,0,0,0,[!#1]c1[cH][cH][cH]c([CH]=[CH]C(=O)[OH])[cH]1
KLEK_1596,0,0,0,0,0,[!#1]c1[cH][cH][cH]c([cH]1)[CH]2[CH2]C(=N[CH2][CH2]S2)c3c([!#1])[cH]c([!#1])oc3=O
KLEK_1597,3,1,0,5,0,[!#1]c1[cH][cH][cH]c([cH]1)[N+](=O)[O-]
KLEK_1598,0,0,0,4,0,[!#1]c1[cH][cH][cH]c([cH]1)C(=O)[CH3]
KLEK_1599,0,0,2,0,1,[!#1]c1[cH][cH][cH]c([cH]1)C(=O)[OH]
KLEK_1600,13,14,2,37,3,[!#1]c1[cH][cH][cH]c([cH]1)C(F)(F)F
KLEK_1601,0,0,0,0,0,[!#1]c1[cH][cH][cH]c([cH]1)c2[cH]nc3[cH][cH][cH][cH]c3n2
KLEK_1602,0,0,0,0,0,[!#1]c1[cH][cH][cH]c([cH]1)c2nc3[cH][cH][cH][cH]c3o2
