KEYS,5ht1a,5ht7,beta2,d2,h1,SMARTS
KLEK_260,8,0,0,0,0,[!#1][CH]1[CH2]O[CH]([!#1])O1
KLEK_261,0,0,0,0,0,[!#1][CH]1[CH2]O1
KLEK_262,0,0,0,0,0,[!#1][CH]1[CH2]OC([!#1])([CH3])O1
KLEK_263,3,0,0,0,0,[!#1][CH]1[CH2]OC2([CH2][CH2][CH2][CH2][CH2]2)O1
KLEK_264,20,0,0,0,0,[!#1][CH]1[CH2]Oc2[cH][cH][cH][cH]c2O1
KLEK_265,0,0,0,0,0,[!#1][CH]1[CH2]S(=O)(=O)[CH]=[CH]1
KLEK_266,0,0,0,0,0,[!#1][CH]1[CH2]S(=O)(=O)[CH2][CH]1[!#1]
KLEK_267,0,0,0,0,0,[!#1][CH]1[CH2]S(=O)(=O)[CH2][CH]1[OH]
KLEK_268,0,0,0,0,0,[!#1][CH]1[CH2]S[CH]([NH]1)c2[cH][cH]c([!#1])[cH][cH]2
KLEK_269,0,0,0,0,0,[!#1][CH]1[CH2]S[CH](N1[!#1])c2[cH][cH]c([!#1])[cH][cH]2
KLEK_270,0,0,0,0,0,[!#1][CH]1[CH2]S[CH2][CH]1[!#1]
KLEK_271,0,0,0,0,0,[!#1][CH]1[NH][CH2][CH2]n2[cH][cH][cH]c12
KLEK_272,0,0,0,0,0,[!#1][CH]1[NH]c2[cH][cH][cH][cH]c2[NH]C1=O
KLEK_273,0,0,0,0,0,[!#1][CH]1C(=NN(C1=O)c2[cH][cH][cH][cH][cH]2)[!#1]
KLEK_274,0,0,0,0,0,[!#1][CH]1C(=NN(C1=O)c2c([!#1])c([!#1])c([!#1])c([!#1])c2[!#1])[!#1]
KLEK_275,0,0,0,0,0,[!#1][CH]1C(=NN(C1=O)c2c(F)c(F)c(F)c(F)c2F)[CH3]
KLEK_276,0,0,0,0,0,[!#1][CH]1C(=O)[CH2]C([!#1])([CH3])[CH2]C1=O
KLEK_277,0,0,0,0,0,[!#1][CH]1C(=O)[CH2]C([CH3])([CH3])[CH2]C1=O
KLEK_278,0,0,0,0,0,[!#1][CH]1C(=O)[NH]C(=O)[NH]C1=O
KLEK_279,0,0,0,0,0,[!#1][CH]1C(=O)c2[cH][cH][cH][cH]c2C1=O
KLEK_280,0,0,0,1,0,[!#1][CH]1c2[cH][cH][cH][cH]c2-c3[cH][cH][cH][cH]c13
